curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00017,weibull,0.02326570576149786,0.022166884576275938,True,"[60.87508280758047, 0.010000000009225036, 0.18180341814955517]"
NU00019,weibull,0.026440237306803664,0.02532702479972201,True,"[43.846048861528445, 0.12983181025982093, 0.14212004838521494]"
NU00020,weibull,0.022288376834542052,0.02162533576090959,True,"[41.22641531389489, 0.01000000000008411, 0.11605295542112769]"
NU00022,weibull,0.004663227466470192,0.003839851255898304,True,"[68.00803487405891, 0.010000000038950019, 0.14010261128165144]"
NU00024,weibull,0.014982372478993155,0.011996963038003515,True,"[41.211954245468206, 0.010000000000000241, 0.2173927340425462]"
NU00025,weibull,0.005860354989251426,0.004849601020363673,True,"[94.98181401335565, 0.010000000011585818, 0.13516369231240175]"
NU00026,weibull,0.018434846956820836,0.01723394125870053,True,"[99.58744931972868, 3.587004079195233, 0.6276243139521598]"
NU00027,weibull,0.004523134177425505,0.0037546003203084957,True,"[45.53732949467068, 0.01000000013965945, 0.15779342764125787]"
NU00029,weibull,0.040202352074432644,0.03932102734166619,True,"[75.04515628808382, 2.318637025170152, 0.5657978528825812]"
NU00030,weibull,0.030525050976736294,0.029397579026701884,True,"[66.35072757664024, 0.8355110982053814, 0.48402596434091]"
NU00031,weibull,0.012853727026648087,0.012746463947770958,True,"[63.832677370033245, 0.9622011069239033, 0.40513809206141416]"
NU00032,weibull,0.01646436578850292,0.01663985052856773,True,"[57.19043815577959, 2.673959560435747, 0.5183225203391251]"
NU00033,weibull,0.030943940374231184,0.03042741224912312,True,"[46.88258204715282, 0.8794841008096441, 0.45023674332184405]"
NU00034,weibull,0.008611822660966953,0.008401658181724595,True,"[43.9731281807095, 0.010000000000000002, 0.36277667242697986]"
NU00035,weibull,0.022576484624530154,0.022614510286633895,True,"[29.650060286507784, 0.010000000000496296, 0.23237215235529662]"
NU00036,weibull,0.02599341327166946,0.025328721799945237,True,"[36.842109279077455, 0.7539075308915593, 0.2842847818843834]"
NU00037,weibull,0.0151082988070228,0.015106995877300402,True,"[72.60626151609587, 0.010000000000013639, 0.3504575791508426]"
NU00056,weibull,0.00944413616411094,0.008595299547032038,True,"[53.179785979745766, 0.010000000000000002, 0.11652481074247989]"
NU00057,weibull,0.003559410337984502,0.0032290459678479028,True,"[66.57953666653732, 0.8704194799667434, 0.16683491801998798]"
NU00058,weibull,0.005889276231408733,0.005255067616079149,True,"[81.13760474734306, 0.010000000034631713, 0.10538923054206734]"
NU00059,weibull,0.01611137617587436,0.014399920320945628,True,"[94.43108843219625, 0.010000000001605659, 0.13376728972445182]"
NU00060,weibull,0.0144846595863507,0.01294674577363434,True,"[64.21841247162595, 0.010000000000002486, 0.1449165610919353]"
NU00061,weibull,0.003447486515426252,0.003117308620499744,True,"[63.47967111249424, 0.9965095046537312, 0.18714493165255178]"
NU00062,weibull,0.011674852295271508,0.010289758281572128,True,"[79.87647319753542, 0.010000000020801942, 0.13026286022889366]"
NU00063,weibull,0.0036326490732298228,0.0032092407018093723,True,"[86.4797673288527, 0.010000000000792354, 0.11225953851626884]"
NU00064,weibull,0.049089482558134695,0.04804289690352722,True,"[54.15457316834123, 0.010000000000014346, 0.21158898914379629]"
NU00068,weibull,0.012657815261994358,0.012490044883447562,True,"[71.95369528196079, 0.7730360666139118, 0.18435126955476233]"
NU00069,weibull,0.04441023457607876,0.04265950115488638,True,"[44.76470739397405, 3.5356422382604267, 0.6418162304263367]"
NU00070,weibull,0.02397160000111034,0.023932132580840888,True,"[54.08905352196889, 1.207052646079895, 0.5222114288902863]"
NU00079,weibull,0.04670027364620383,0.048186232339855126,True,"[20.352405634319176, 2.6650956410396716, 0.5915263929033457]"
NU00082,weibull,0.05616894424678269,0.05477443086782567,True,"[13.330969644763393, 4.233045963016953, 0.9560102436003123]"
NU00085,weibull,0.039415502235974495,0.040306195338260034,True,"[23.469643952363782, 5.072469348834504, 0.7350489035836413]"
NU00086,weibull,0.05395994650453915,0.05636985434297289,True,"[14.35872430401246, 3.9962957114439948, 0.8866181989929809]"
