curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00063,weibull,0.0036326490732298,0.0032092407018093,True,"[86.4797673288527, 0.010000000000792354, 0.11225953851626884]"
NU00109,weibull,0.0074304971992652,0.0068459015514306,True,"[86.28878503491454, 1.9826150155143787, 0.19863969247982624]"
NU00110,weibull,0.0255344911776792,0.0242358320886668,True,"[77.43844299189735, 1.993200967160754, 0.10001000000000036]"
NU00111,weibull,0.0324826768252909,0.0311036277468094,True,"[66.7331497802215, 1.6981991248161517, 0.10001000000006854]"
NU00113,weibull,0.0154341139905974,0.0149824935716983,True,"[76.33361170690807, 2.9209854858376474, 0.10001000000000002]"
NU00114,weibull,0.0421390681417877,0.0437660078572343,True,"[48.719016249548304, 7.058181284602927, 0.10001000000000734]"
NU00115,weibull,0.0359111612794278,0.0363966708715299,True,"[52.09567991112497, 4.5452223914349466, 0.10001000000000024]"
NU00116,weibull,0.0335281556025777,0.033001328693306,True,"[52.728521689090336, 2.914448151557249, 0.10001000000001475]"
NU00117,weibull,0.0370647169256744,0.0381212331359255,True,"[68.25443235020298, 6.495688583865723, 0.10001000000000311]"
NU00118,weibull,0.0274133847899062,0.0279905290356744,True,"[74.49169840494332, 5.984999891155891, 0.10001000000000002]"
NU00119,weibull,0.0295716435161518,0.0292821578113797,True,"[36.35589881862284, 5.343893112671321, 0.10001000000000002]"
NU00120,weibull,0.030115223210687,0.0294144017633219,True,"[41.362562036833815, 4.132539320194571, 0.10001000000000348]"
NU00121,weibull,0.0257953550957346,0.0252795142018682,True,"[38.26520590409752, 4.167660768402378, 0.10001000000000031]"
NU00122,weibull,0.0336929027340434,0.0338704408067837,True,"[47.05206845141107, 4.892262709754772, 0.10001000000000465]"
NU00123,weibull,0.0425470414997752,0.0432701975414846,True,"[22.713939720347454, 4.21559716614827, 0.10001000000000346]"
NU00124,weibull,0.027157986828406,0.026434893001802,True,"[27.01940399525688, 2.7637785574328184, 0.10001000000000002]"
NU00125,weibull,0.0377529661209017,0.0366476603927948,True,"[27.71131302155161, 0.9219368646919681, 0.10001000000000074]"
NU00126,weibull,0.0403282508066555,0.0424799889740866,True,"[17.847723916021252, 8.94419010891753, 0.10001000000000021]"
NU00183,weibull,0.0092191785889907,0.008846235669189,True,"[24.07385846020638, 0.355099111960312, 0.30412780059432054]"
NU00184,weibull,0.0117031599042733,0.010656696349158,True,"[18.889001221227957, 0.010000000000000016, 0.3208190170802928]"
NU00185,weibull,0.0121620869859694,0.0120574837534644,True,"[20.879580330119236, 0.010000000000000002, 0.2696172961689803]"
NU00186,weibull,0.0155450304408511,0.0157638080458334,True,"[25.737771820524813, 0.010000000000000136, 0.206132377481668]"
NU00187,weibull,0.0118521317067218,0.0115093125172784,True,"[13.490199794728543, 0.010000000000000411, 0.3086354302248198]"
NU00188,weibull,0.0139390465667061,0.0139542791892584,True,"[29.967251717529003, 0.010000000000000049, 0.1659076396998729]"
NU00189,weibull,0.005565790610111,0.0055392098267047,True,"[29.84252019545512, 0.06790592916013849, 0.2530878488400216]"
NU00190,weibull,0.0312373157775327,0.031861685987123,True,"[25.68657771914906, 0.01000000000054818, 0.2114006334287005]"
NU00191,weibull,0.0321150217102323,0.0341335414839458,True,"[40.45715368238292, 0.010000000000061238, 0.2510998993271033]"
NU00192,weibull,0.0096572603763618,0.0095264778677054,True,"[60.92507185545419, 0.010000000000000064, 0.3711175753440105]"
NU00193,weibull,0.0235626704088661,0.0217124551182123,True,"[64.24469644774673, 0.010000000000000028, 0.3518362898909806]"
NU00194,weibull,0.0310712565755038,0.0315940918508021,True,"[83.29834085350872, 0.010000000000000021, 0.27151035506114995]"
NU00195,weibull,0.0129335019807827,0.0121076212589112,True,"[53.0901185872333, 0.010000000000000033, 0.3617261699605635]"
NU00196,weibull,0.0085186036981429,0.0083717525358952,True,"[23.403449184291595, 0.31127798375924043, 0.29018103513580185]"
NU00197,weibull,0.0127664220076746,0.0124916165316061,True,"[17.37398627162019, 0.010000000000000094, 0.29658104658769646]"
NU00198,weibull,0.0132348079364629,0.0128315575204367,True,"[18.978246845175608, 0.010000000000000004, 0.2662597648052689]"
NU00199,weibull,0.0115373805495674,0.0113723427133959,True,"[24.449744283299587, 0.010000000000000005, 0.18640308870724376]"
NU00200,weibull,0.0151716798944846,0.0150506227694921,True,"[13.406976288427376, 0.010000000000000406, 0.3102675733407251]"
NU00201,weibull,0.0187316415724384,0.0181805690384889,True,"[30.291145511662332, 0.9288277120272359, 0.2482612298625494]"
NU00202,weibull,0.0051751671931778,0.0050007709333608,True,"[29.07995588403496, 0.19521920896938935, 0.23995623403010113]"
NU00203,weibull,0.0067823705286237,0.006372037355974,True,"[28.525810508110332, 0.5361917247085991, 0.2663427503206721]"
NU00204,weibull,0.0187231551858948,0.0179976293961568,True,"[43.589085263446506, 0.010000000000000385, 0.3051630111575165]"
NU00205,weibull,0.0160978124243724,0.0159374034207303,True,"[48.88714307916574, 0.010000000000000047, 0.3362442800216572]"
NU00206,weibull,0.0201272103917518,0.0197663497373225,True,"[61.095378739802314, 0.01000000000000061, 0.291899559955493]"
NU00207,weibull,0.0204667590601841,0.0202606863909227,True,"[74.65164137900301, 0.010000000000005707, 0.2053635392516718]"
NU00208,weibull,0.0291117695487846,0.0289351559713222,True,"[43.46368292446525, 0.010000000000029655, 0.29261908568068645]"
NU00209,weibull,0.010821239700168,0.0084861115081987,True,"[58.65784649739844, 0.010000000000002358, 0.3357094260773266]"
NU00210,weibull,0.0176857656234517,0.0137294637479013,True,"[52.81461853689365, 0.010000000000010676, 0.36985424418123025]"
NU00211,weibull,0.0100237484276872,0.0084702027134846,True,"[53.253587252147184, 1.4191991155296066, 0.481527119214775]"
NU00212,weibull,0.0127596911383453,0.010316073221769,True,"[66.79123990867639, 0.010000000000001447, 0.2753336134808423]"
NU00214,weibull,0.0123894666311251,0.0097400031740172,True,"[52.1527686183105, 0.38480485915645446, 0.40557420812865824]"
NU00215,weibull,0.016377736325587,0.0120285298423702,True,"[57.730747589686985, 0.010000000000000002, 0.4780429248969188]"
NU00216,weibull,0.0087164055700634,0.0066412738652917,True,"[30.055331492595037, 0.35041069843599976, 0.49172629782247534]"
NU00217,weibull,0.0067746057657711,0.0055306830773237,True,"[73.49478179519093, 0.010000000000000002, 0.2627862189190827]"
