curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00017,weibull,0.0232657057614978,0.0221668845762759,True,"[60.87508280758047, 0.010000000009225036, 0.18180341814955517]"
NU00019,weibull,0.0264402373068036,0.025327024799722,True,"[43.846048861528445, 0.12983181025982093, 0.14212004838521494]"
NU00020,weibull,0.022288376834542,0.0216253357609095,True,"[41.22641531389489, 0.01000000000008411, 0.11605295542112769]"
NU00022,weibull,0.0046632274664701,0.0038398512558983,True,"[68.00803487405891, 0.010000000038950019, 0.14010261128165144]"
NU00024,weibull,0.0149823724789931,0.0119969630380035,True,"[41.211954245468206, 0.010000000000000241, 0.2173927340425462]"
NU00025,weibull,0.0058603549892514,0.0048496010203636,True,"[94.98181401335565, 0.010000000011585818, 0.13516369231240175]"
NU00026,weibull,0.0184348469568208,0.0172339412587005,True,"[99.58744931972868, 3.587004079195233, 0.6276243139521598]"
NU00027,weibull,0.0045231341774255,0.0037546003203084,True,"[45.53732949467068, 0.01000000013965945, 0.15779342764125787]"
NU00050,weibull,0.0176285265928123,0.0177901691140729,True,"[79.37220669629677, 0.010000000000000004, 0.18835909080341517]"
NU00051,weibull,0.0233739476085617,0.024148045195082,True,"[55.36637820613401, 0.01000000000000001, 0.24618972410576942]"
NU00052,weibull,0.021497901839391,0.0208330238114737,True,"[76.25849038083585, 0.010000000000001744, 0.16500857214931708]"
NU00053,weibull,0.0178238492087652,0.017893595808941,True,"[75.60415298244891, 0.010000000000000096, 0.14876665809646822]"
NU00054,weibull,0.0174876949357328,0.0165436673217966,True,"[69.34331822984754, 0.010000000000000083, 0.23114096533667886]"
NU00055,weibull,0.0208702336646109,0.0203484032305354,True,"[48.00017595671024, 0.01000000000000146, 0.11636297014594038]"
NU00064,weibull,0.0490894825581346,0.0480428969035272,True,"[54.15457316834123, 0.010000000000014346, 0.21158898914379629]"
NU00068,weibull,0.0126578152619943,0.0124900448834475,True,"[71.95369528196079, 0.7730360666139118, 0.18435126955476233]"
NU00069,weibull,0.0444102345760787,0.0426595011548863,True,"[44.76470739397405, 3.5356422382604267, 0.6418162304263367]"
NU00070,weibull,0.0239716000011103,0.0239321325808408,True,"[54.08905352196889, 1.207052646079895, 0.5222114288902863]"
NU00079,weibull,0.0467002736462038,0.0481862323398551,True,"[20.352405634319176, 2.6650956410396716, 0.5915263929033457]"
NU00082,weibull,0.0561689442467826,0.0547744308678256,True,"[13.330969644763393, 4.233045963016953, 0.9560102436003123]"
NU00085,weibull,0.0394155022359744,0.04030619533826,True,"[23.469643952363782, 5.072469348834504, 0.7350489035836413]"
NU00086,weibull,0.0539599465045391,0.0563698543429728,True,"[14.35872430401246, 3.9962957114439948, 0.8866181989929809]"
NU00090,weibull,0.0312705422301775,0.0306908364722803,True,"[51.96331664597865, 0.010000000216161273, 0.4302511200865796]"
NU00091,weibull,0.0466580080043491,0.0464664120831737,True,"[42.17317947154956, 0.6535823562257363, 0.311631729924136]"
NU00092,weibull,0.0521753469880374,0.0522308887485331,True,"[23.974478660351437, 0.010000000000020577, 0.40900114543271315]"
